,text,label
0,@user she should ask a few [OFFENSIVE]s what their take on this is.,OFF
1,@user @user go home you’re [OFFENSIVE]!!! @user #maga #trump2020 👊🇺🇸👊 url,OFF
2,amazon is investigating [OFFENSIVE] employees who are selling [OFFENSIVE] data to third-[OFFENSIVE] sellers looking for an edge in the competitive marketplace. url #amazon #maga #kag #china #tcot,NOT
3,"@user someone should'vetaken"" this piece of shit to a volcano. 😂""",OFF
4,@user @user obama wanted liberals &amp; [OFFENSIVE]s to move into red states,NOT
5,@user liberals are all kookoo !!!,OFF
6,@user @user oh noes! [OFFENSIVE] shit.,OFF
7,@user was [OFFENSIVE]ly just talking about this lol all mass shootings like that have been set ups. it’s [OFFENSIVE] used to [OFFENSIVE] us on major [OFFENSIVE]s like gun control and [OFFENSIVE]ism,OFF
8,@user buy more icecream!!!,NOT
9,@user canada doesn’t need another cuck! we already have enough #looneyleft #liberals f**king up our great country! #qproofs #trudeaumustgo,OFF
10,@user @user @user it’s not my [OFFENSIVE] you support gun control,NOT
11,@user what’s the [OFFENSIVE]ence between #kavanaugh and @user   one of these men admitted to groping a 15 year old girl years ago.  the other is going to be #confirmed to the scj   #demsarefrauds #demsaredone   #walkawaydemocrats2018 #redwave #voteredsaveamerica #trump[OFFENSIVE] #maga url,NOT
12,@user you are a [OFFENSIVE] corrupt [OFFENSIVE]!!! nobody wants to hear anymore of your lies!!! #deepstate[OFFENSIVE] url,OFF
13,@user @user @user it should [OFFENSIVE] every american!  she is playing hockey with a [OFFENSIVE] puck!,NOT
14,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user i like my soda like i like my boarders with a lot of ice.,NOT
15,@user you are also the king of taste,NOT
16,#maga @user  🎶 sing like no one is listening  ♥️ love like you've never been hurt  ✔️ vote gop when no one is watching  🙉  and don't listen to liberals' dirt url,NOT
17,"5/5: @user the time is right for this [OFFENSIVE] to respond to the [OFFENSIVE]s of all canadians. four out of five canadians support stronger gun control and with good [OFFENSIVE].” #guncontrol #cdnpoli #cdnhist""",NOT
18,@user besides jax’s mom and maybe ope he is hands down my favorite he’s like the only good person on the show 😂,NOT
19,@user @user @user gun control! that is all these kids are asking for!,OFF
20,@user @user @user @user lol!!!   [OFFENSIVE]ing the [OFFENSIVE] flag on such [OFFENSIVE]!!  #putuporshutup   #kavanaugh   #maga   #callthevotealready url,OFF
21,@user @user you are correct.,NOT
22,@user @user kind of like when conservatives wanna associate everyone to their left as communist antifa [OFFENSIVE]s?,OFF
23,@user @user da fuck is going on [OFFENSIVE]?   there's the men's room and the women's room  pick one and [OFFENSIVE] w it 🤔,OFF
24,@user been a willie fan since before most of you were born....love that he is holding a rally with beto.... exactly which fans are [OFFENSIVE]?  could you give some specifics? url,NOT
25,@user tbh these days i just don't like [OFFENSIVE] in general i just don't connect with [OFFENSIVE] these days just a [OFFENSIVE]ance..,OFF
26,"south korean official: “[OFFENSIVE]s will discuss specific denuke [OFFENSIVE]s in pyongyang”""  url #tcot #maga #rednationrising""",NOT
27,@user @user you can tell he is a hooper too,NOT
28,@user i feel like he is better chasing the title,NOT
29,@user @user @user she?  to whom are you referring to?  hillary?  you know what is [OFFENSIVE]?  bernie supporters [OFFENSIVE] hillary clinton.  she is an actual democrat who raises money for the democratic [OFFENSIVE] and doesn’t bash them.  she has a positive message.  so who is dividing the left?,OFF
30,@user glad to see your friends are supporting metis rights as much as you are supporting zionists. url,NOT
31,@user yes you are but i was asking what is it about the movie ?🤷‍♂️👀,NOT
32,the only thing the democrats have is [OFFENSIVE] and stalling to stop trump from being #president.  what have they done for you lately. #trump #kavanaugh #maga #demsuck,OFF
33,@user no wonder he is being [OFFENSIVE] and more social these day....,NOT
34,@user @user @user any updates re ending your [OFFENSIVE] #[OFFENSIVE] as #windrush &amp; #grenfell proves you are  @user @user #allout[OFFENSIVE] #[OFFENSIVE]live #pmqs @user url,NOT
35,@user @user @user @user @user @user @user @user @user @user @user do you know what’s going to happen now?  i’m going to have to lay in bed and cry while i listen to kelly clarkson. thanks free speech antifa.,NOT
36,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user you are not very [OFFENSIVE] are you? why do you think gen flynn’s sentencing keeps being rescheduled? url,OFF
37,@user @user @user that's expected if you [OFFENSIVE] the [OFFENSIVE] leftists/[OFFENSIVE]ists. #kavanaughconfirmation #woke,OFF
38,@user blow hard,NOT
39,@user @user @user that means you are a max lvl. twitter user and maybe should try a new game,NOT
40,"@user @user please explain what con[OFFENSIVE]ed [OFFENSIVE]"" means.  as for bernier escaping, he [OFFENSIVE] with the rest of the conservatives be[OFFENSIVE] he's even more racist and [OFFENSIVE]ary than they want to be.""",NOT
41,@user @user @user @user @user socialists [OFFENSIVE] that stand up for the [OFFENSIVE]. and well done for conf[OFFENSIVE]g [OFFENSIVE]ism of israel with anti semitism. you are also part of the [OFFENSIVE].,NOT
42,3. nina  one of the [OFFENSIVE]s i didn't read this book for so long was be[OFFENSIVE] i was so [OFFENSIVE] about her character. i should've trusted everyone. nina is a goddamn goddess i would die for a thousand times over. she is big and bold and lovely and perfect. her arc. is. perfect.,NOT
43,.@user @user @user @user @user  please vote no on kavanaugh. he is not fit for scotus and [OFFENSIVE]s about women and [OFFENSIVE] financials should [OFFENSIVE] him.    #ruleoflaw matters. #metoo #countryover[OFFENSIVE] #[OFFENSIVE]kavanaugh  #stopkavanaugh,NOT
44,"@user @user ppl who say i'm not racist"" are racist. you are a racist. repeat after me""",NOT
45,@user kathy the patriot🗽  you have to love our great president trump!!!  a spine of u.s. steel!! changing it! on [OFFENSIVE] &amp; everything for americans!! #americafirst #usa #maga #[OFFENSIVE]ship &amp; #respect #economy #jobs #peacethrustrength #god #bless #trump &amp; #theusa     😀 🗽🗽🗽 😀,NOT
46,@user wow you liberals really don’t have a sense of humor.🙄,NOT
47,@user i'm so [OFFENSIVE] ready,NOT
48,@user holy moly!! if the catholic [OFFENSIVE] haven't been awakened by this ..... #[OFFENSIVE]prophet  #[OFFENSIVE],NOT
49,@user lol yeah per dina he is there everyday per claudia no horse got vet care unless it was for donation example limping etc,NOT
50,@user @user @user what a surprise.... same as antifa. blm and so on and so on. soros is americas worst [OFFENSIVE] in hi[OFFENSIVE]. he [OFFENSIVE]ves the only way to take down the usa is from withing. and hes right. but it's not gunna happen.,NOT
51,@user me too! her wedding was the best! she is very pretty!,NOT
52,@user @user no [OFFENSIVE] here—don’t look at this.  #soros involved in [OFFENSIVE] left agenda of antifa also.,NOT
53,@user @user @user url any of your announcements every come to fruition or is it basically [OFFENSIVE]ing labour's ideas to get a few more votes,NOT
54,4 out of 10 british [OFFENSIVE] are basically full-on racists. 4 out of 10 voters vote for the conservatives. coincidence!???!???,OFF
55,#guncontrol advocates must stop falling all over themselves to assure electorate that they too love the [OFFENSIVE] 2a url,NOT
56,@user @user hi there! we love what a huge fan of camila mendes you are! would it be alright if we used your tweet about her in our promotional material?,NOT
57,@user fuck off,OFF
58,@user [OFFENSIVE]ly a [OFFENSIVE] view toward the margaret s[OFFENSIVE] geonicidal philosophy of [OFFENSIVE]ing minorities.  i’d like to know if the [OFFENSIVE] population that [OFFENSIVE]s the most shares her opinion,NOT
